source,target,delay_factor,shortest_path_delay,target_delay,spare_path_found,spare_path_delay,delay_delta,spare_edges_count,normal_edges_count,shortest_path_dist,spare_path_dist,duration_s
200,770,2.000000,0.098136,0.196271,True,0.150762,-0.045509,14.000000,23.000000,29420316.419675,45197319.177176,4.556484
1154,953,1.250000,0.048140,0.060174,True,0.060240,0.000066,11.000000,0.000000,14431875.444890,18059492.995664,7.837971
1154,953,1.500000,0.048140,0.072209,True,0.072996,0.000787,13.000000,0.000000,14431875.444890,21883787.388570,8.027381
1154,953,2.000000,0.048140,0.096279,True,0.098910,0.002631,17.000000,0.000000,14431875.444890,29652562.953360,7.778958
1070,25,1.250000,0.154946,0.193682,True,0.193361,-0.000321,26.000000,19.000000,46451536.544234,57968067.854451,7.191964
1070,25,1.500000,0.154946,0.232418,True,0.193361,-0.039058,26.000000,19.000000,46451536.544234,57968067.854451,7.159144
1070,25,2.000000,0.154946,0.309891,True,0.193361,-0.116531,26.000000,19.000000,46451536.544234,57968067.854451,7.174888
1113,1254,1.250000,0.083186,0.103982,True,0.103633,-0.000350,15.000000,6.000000,24938442.507593,31068249.551835,6.368223
1113,1254,1.500000,0.083186,0.124779,True,0.117353,-0.007425,18.000000,7.000000,24938442.507593,35181668.693933,6.589366
1113,1254,2.000000,0.083186,0.166371,True,0.117353,-0.049018,18.000000,7.000000,24938442.507593,35181668.693933,6.292930
1148,1441,1.250000,0.089590,0.111987,True,0.094944,-0.017043,19.000000,4.000000,26858294.305648,28463460.628213,7.656437
1148,1441,1.500000,0.089590,0.134384,True,0.094944,-0.039441,19.000000,4.000000,26858294.305648,28463460.628213,7.713933
1148,1441,2.000000,0.089590,0.179179,True,0.094944,-0.084235,19.000000,4.000000,26858294.305648,28463460.628213,7.735106
1282,27,1.250000,0.063007,0.078759,True,0.080944,0.002185,13.000000,6.000000,18889048.034490,24266456.494394,6.017190
1282,27,1.500000,0.063007,0.094511,True,0.094069,-0.000442,15.000000,6.000000,18889048.034490,28201059.342539,5.831346
1282,27,2.000000,0.063007,0.126014,True,0.110101,-0.015913,10.000000,15.000000,18889048.034490,33007564.491315,6.002596
141,1453,1.250000,0.092289,0.115361,True,0.114633,-0.000728,19.000000,8.000000,27667553.320366,34366056.376865,7.074389
141,1453,1.500000,0.092289,0.138434,True,0.114633,-0.023801,19.000000,8.000000,27667553.320366,34366056.376865,7.050257
141,1453,2.000000,0.092289,0.184578,True,0.114633,-0.069945,19.000000,8.000000,27667553.320366,34366056.376865,7.052287
